index,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
chc-lia-lin-0009.smt2,,,1,1,1,,1,,,1,1,,,,,12.12,4.86,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,,
chc-lia-lin-0010.smt2,,,51,50,1247,9148,502,21336,1684,2472,1036,10088,2597,162,24,,751.41,timeout,597.06,488.05,211.57,38.99,6.96,0.00,0.00,0.73,503.35,196.54,,306.61,4.01,196.19,6.66
chc-lia-lin-0011.smt2,,,1,1,1,,1,,,1,1,,,,,12.20,4.95,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,,
chc-lia-lin-0012.smt2,,,,1,2,,2,1,1,3,2,1,1,,,17.20,6.53,sat,0.03,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,
chc-lia-lin-0013.smt2,,,4,4,9,4,7,20,,18,9,10,13,,,24.16,9.35,sat,0.07,0.02,0.01,,0.00,0.00,0.00,0.00,0.05,0.01,,0.03,0.01,0.00,
chc-lia-lin-0014.smt2,,,,1,2,,2,1,,3,2,1,1,,,17.68,6.69,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-lin-0015.smt2,,,10,10,18,31,11,78,,57,12,21,46,,,29.56,14.02,sat,0.35,0.24,0.14,0.00,0.00,0.00,0.00,0.01,0.31,0.04,,0.24,0.02,0.12,
chc-lia-lin-0016.smt2,,,72,71,478,13827,2,15769,220,5081,453,598,5009,,,,180.66,timeout,593.83,557.49,414.49,12.97,3.36,0.00,0.00,5.07,579.88,24.54,,555.09,13.10,365.48,
chc-lia-lin-0017.smt2,,,2,2,7,,5,8,,9,5,5,6,,,27.72,10.15,sat,0.05,0.02,0.01,,,0.01,0.00,0.00,0.02,0.00,,0.02,0.00,0.01,
chc-lia-lin-0018.smt2,,,1,1,1,,1,,,1,1,,,,,12.84,5.24,sat,0.02,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,,
chc-lia-lin-0019.smt2,,,,114,344,6702,113,8587,43,6954,230,1520,6839,,,,206.25,timeout,593.88,559.24,285.38,73.21,0.94,0.00,0.00,2.86,577.96,6.53,,571.05,10.22,346.64,
chc-lia-lin-0020.smt2,,,1,1,1,,1,,,2,1,,,,,16.48,6.12,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,,
chc-lia-lin-0021.smt2,,,,1,2,,2,1,1,3,2,1,1,,,17.40,6.72,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,
chc-lia-lin-0022.smt2,,,69,68,192,4953,,8104,113,4854,272,1585,4787,,,,193.04,timeout,594.59,566.04,281.41,0.84,1.22,0.00,0.00,2.65,580.84,44.25,,536.35,8.54,195.17,0.04
chc-lia-lin-0023.smt2,,,,126,322,18168,,21434,162,8004,126,1425,7877,,,,174.89,timeout,593.59,553.50,353.90,0.04,4.05,0.00,0.00,5.07,580.67,23.84,,556.38,14.11,303.45,
